City,State,Shape,Sight_Date,Sight_Time,Sight_Weekday,Sight_Day,Sight_Month
Madison,WI,Light,1997-09-30,22:00,Tuesday,30,09
San Francisco,CA,Triangle,1997-09-28,23:15,Sunday,28,09
Egan,SD,Other,1997-09-27,23:00,Saturday,27,09
Crestwood,KY,Disk,1997-09-27,05:00,Saturday,27,09
Clearfield,UT,Triangle,1997-09-25,22:00,Thursday,25,09
Muskegon,MI,Disk,1997-09-24,14:30,Wednesday,24,09
Brewster,NY,Triangle,1997-09-23,22:30,Tuesday,23,09
Rhinebeck (south of),NY,Triangle,1997-09-23,20:00,Tuesday,23,09
Hyde Park,VT,Fireball,1997-09-23,20:00,Tuesday,23,09
Denison,IA,Disk,1997-09-23,19:00,Tuesday,23,09
Solomons Island,MD,Disk,1997-09-22,20:00,Monday,22,09
Palo,MI,Cigar,1997-09-22,14:00,Monday,22,09
St. Louis,MO,Other,1997-09-22,03:00,Monday,22,09
Manoa Valley (Honolulu),HI,Disk,1997-09-21,14:00,Sunday,21,09
Poway,CA,Triangle,1997-09-20,22:15,Saturday,20,09
Crescent City (80 miles west of),CA,Disk,1997-09-19,22:00,Friday,19,09
Orland Park,IL,Rectangle,1997-09-19,05:40,Friday,19,09
West Manchester,OH,Changing,1997-09-18,04:15,Thursday,18,09
Delilah Lookout (Sequoia N F),CA,Disk,1997-09-17,18:00,Wednesday,17,09
Minneapolis,MN,Other,1997-09-16,19:00,Tuesday,16,09
Woodmont,CT,Disk,1997-09-16,04:00,Tuesday,16,09
Houston,TX,Disk,1997-09-15,00:00,Monday,15,09
Woodstock,CT,Sphere,1997-09-15,22:30,Monday,15,09
West Milton (north of),OH,Light,1997-09-15,22:00,Monday,15,09
Chicago,IL,Light,1997-09-15,21:00,Monday,15,09
Santa Fe,NM,Light,1997-09-15,20:00,Monday,15,09
Salem,OR,Light,1997-09-15,20:00,Monday,15,09
Kent,WA,Sphere,1997-09-15,20:00,Monday,15,09
Angola,IN,Circle,1997-09-15,20:00,Monday,15,09
Wedgefield,SC,Triangle,1997-09-15,19:00,Monday,15,09
Farrell,PA,Disk,1997-09-15,18:00,Monday,15,09
Comfort,TX,Cylinder,1997-09-15,17:00,Monday,15,09
Colorado Springs,CO,Rectangle,1997-09-15,15:00,Monday,15,09
Sherman Oaks,CA,Cigar,1997-09-15,09:00,Monday,15,09
Alta Loma,CA,Circle,1997-09-10,19:00,Wednesday,10,09
Roseburg,OR,Light,1997-09-09,21:30,Tuesday,09,09
Las Vegas,NV,Formation,1997-09-09,16:00,Tuesday,09,09
Gulf of Mexico,LA,Cigar,1997-09-07,12:00,Sunday,07,09
Covington,WA,Triangle,1997-09-06,04:47,Saturday,06,09
Portland,OR,Formation,1997-09-02,21:45,Tuesday,02,09
Albany,ME,Light,1997-09-01,23:00,Monday,01,09
Carlsbad,CA,Light,1997-09-01,22:30,Monday,01,09
Pleasant View,TN,Fireball,1997-09-01,20:00,Monday,01,09
Woodmont,CT,Disk,1997-09-01,18:00,Monday,01,09
Santa Ana,CA,Light,1997-10-31,22:18,Friday,31,10
El Paso,TX,Other,1997-10-31,10:00,Friday,31,10
Nocona,TX,Sphere,1997-10-31,00:00,Friday,31,10
Pittsburgh,PA,Disk,1997-10-30,07:30,Thursday,30,10
Childress (approx 20 miles north of,TX,Light,1997-10-29,19:00,Wednesday,29,10
Childress (North of),TX,Sphere,1997-10-29,19:00,Wednesday,29,10
Glen Alpine,NC,Light,1997-10-29,16:30,Wednesday,29,10
Willow Springs,MO,Triangle,1997-10-28,18:45,Tuesday,28,10
Charlotte,NC,Triangle,1997-10-26,22:00,Sunday,26,10
Fairfield,CA,Sphere,1997-10-24,20:42,Friday,24,10
Orlando,FL,Other,1997-10-23,21:00,Thursday,23,10
Milford,CA,Disk,1997-10-22,15:00,Wednesday,22,10
Bluff,UT,Light,1997-10-21,22:00,Tuesday,21,10
Norristown,PA,Circle,1997-10-21,18:45,Tuesday,21,10
Round Rock,TX,Diamond,1997-10-20,20:00,Monday,20,10
"South of Kalamath Falls,",OR,Formation,1997-10-20,19:30,Monday,20,10
Gig Harbor,WA,Light,1997-10-20,08:45,Monday,20,10
Attleboro,MA,Light,1997-10-19,02:00,Sunday,19,10
Ignacio,CO,Triangle,1997-10-17,20:00,Friday,17,10
Hollister,CA,Light,1997-10-16,19:05,Thursday,16,10
Hickory,NC,Fireball,1997-10-16,05:34,Thursday,16,10
Jacksonville,FL,Sphere,1997-10-16,01:30,Thursday,16,10
Deer Grove,IL,Triangle,1997-10-15,23:30,Wednesday,15,10
Alvarado,TX,Chevron,1997-10-15,22:00,Wednesday,15,10
Freeport,IL,Flash,1997-10-15,22:00,Wednesday,15,10
Waldorf,MD,Light,1997-10-15,21:30,Wednesday,15,10
Stephenville,TX,Circle,1997-10-15,20:45,Wednesday,15,10
Rosburg,WA,Triangle,1997-10-15,20:00,Wednesday,15,10
Bladen,NE,Sphere,1997-10-15,20:00,Wednesday,15,10
Westfeild,WI,Light,1997-10-15,20:00,Wednesday,15,10
Shark River Hills,NJ,Triangle,1997-10-15,19:00,Wednesday,15,10
Boulder,CO,Triangle,1997-10-15,19:00,Wednesday,15,10
Abingdon,VA,Light,1997-10-15,18:40,Wednesday,15,10
Daggett,CA,Rectangle,1997-10-15,17:30,Wednesday,15,10
New Britain (?),CT,Rectangle,1997-10-15,17:00,Wednesday,15,10
New York City (Staten Island),NY,Cylinder,1997-10-15,15:00,Wednesday,15,10
Dallas,TX,Light,1997-10-15,10:00,Wednesday,15,10
Pasadena,CA,Oval,1997-10-15,07:00,Wednesday,15,10
Brigham City (west of),UT,Other,1997-10-15,03:00,Wednesday,15,10
Lagrange,NC,Fireball,1997-10-15,03:00,Wednesday,15,10
Atlanta (north of),GA,Light,1997-10-15,03:00,Wednesday,15,10
Paris,TN,Light,1997-10-15,01:00,Wednesday,15,10
Naalehu,HI,Sphere,1997-10-15,00:00,Wednesday,15,10
San Diego,CA,Light,1997-10-14,23:55,Tuesday,14,10
Hollister,CA,Light,1997-10-13,22:15,Monday,13,10
Reno,NV,Other,1997-10-13,20:15,Monday,13,10
Ogden/Clinton,UT,Circle,1997-10-13,05:00,Monday,13,10
Sandy,UT,Light,1997-10-13,00:00,Monday,13,10
Franklin,NH,Other,1997-10-12,23:00,Sunday,12,10
Chicago,IL,Light,1997-10-12,22:30,Sunday,12,10
Kenner (34th St.),LA,Disk,1997-10-12,21:51,Sunday,12,10
Huntington Beach,CA,Sphere,1997-10-12,18:30,Sunday,12,10
Austin,MN,Other,1997-10-10,21:00,Friday,10,10
Bonaire,GA,Triangle,1997-10-10,20:00,Friday,10,10
Mesa,AZ,Sphere,1997-10-10,17:00,Friday,10,10
Camarillo,CA,Circle,1997-10-09,11:40,Thursday,09,10
"MM82/MM83 (between, on I-80)",PA,Circle,1997-10-07,03:26,Tuesday,07,10
Utica,NY,Light,1997-10-05,20:30,Sunday,05,10
Cheyenne,WY,Other,1997-10-05,19:00,Sunday,05,10
Warrenton,VA,Light,1997-10-04,18:00,Saturday,04,10
Scottsdale,AZ,Light,1997-10-04,01:57,Saturday,04,10
Waco,TX,Light,1997-10-03,21:30,Friday,03,10
Jim Thorpe,PA,Oval,1997-10-03,21:00,Friday,03,10
Los Angeles (Malibu Beach),CA,Sphere,1997-10-02,14:00,Thursday,02,10
Ringgold,GA,Circle,1997-10-02,02:00,Thursday,02,10
Summerville,SC,Triangle,1997-10-01,22:00,Wednesday,01,10
Martinsville,VA,Other,1997-10-01,21:55,Wednesday,01,10
Bourbonnais,IL,Triangle,1997-10-01,21:30,Wednesday,01,10
Oakland,OR,Light,1997-10-01,21:30,Wednesday,01,10
Hyannis,MA,Triangle,1997-10-01,21:00,Wednesday,01,10
Green Bay,WI,Light,1997-10-01,19:00,Wednesday,01,10
Pelzer,SC,Triangle,1997-10-01,19:00,Wednesday,01,10
Charlotte,NC,Cigar,1997-10-01,09:00,Wednesday,01,10
Oregon (rural),OR,Rectangle,1997-10-01,08:00,Wednesday,01,10
Jefferson,NY,Other,1997-10-01,03:00,Wednesday,01,10
Garland,TX,Rectangle,1997-10-01,01:20,Wednesday,01,10
Fort Jennings,OH,Other,1997-10-01,01:10,Wednesday,01,10
Bemidji,MN,Triangle,1997-10-01,00:00,Wednesday,01,10
LeMars (IA)/Denver (CO) (uncertain; traveling from),NE,Light,1997-11-30,02:00,Sunday,30,11
Gorman (60 miles north of Los Angeles),CA,Light,1997-11-29,20:00,Saturday,29,11
Orcas Island,WA,Light,1997-11-29,18:15,Saturday,29,11
Lake Geneva,WI,Fireball,1997-11-28,19:30,Friday,28,11
Lake Geneva,WI,Fireball,1997-11-28,19:30,Friday,28,11
St. Paul,MN,Fireball,1997-11-28,00:45,Friday,28,11
Northampton,MA,Other,1997-11-27,19:30,Thursday,27,11
El Dorado,AR,Other,1997-11-25,00:30,Tuesday,25,11
Palm Harbor,FL,Triangle,1997-11-24,22:55,Monday,24,11
Salisbury,MD,Oval,1997-11-24,02:00,Monday,24,11
Salisbury,MD,Oval,1997-11-24,02:00,Monday,24,11
Wichita Falls (Sheppard AFB),TX,Light,1997-11-23,21:32,Sunday,23,11
Albuquerque,NM,Fireball,1997-11-23,05:50,Sunday,23,11
Palo,MI,Triangle,1997-11-22,20:45,Saturday,22,11
Albuquerque,NM,Other,1997-11-22,17:30,Saturday,22,11
Fremont,MI,Circle,1997-11-21,20:00,Friday,21,11
North Kingstown,RI,Triangle,1997-11-21,17:00,Friday,21,11
Plattsmouth,NE,Circle,1997-11-21,12:00,Friday,21,11
Cedar River,MI,Fireball,1997-11-20,23:00,Thursday,20,11
Rock Hill,NY,Triangle,1997-11-20,18:00,Thursday,20,11
Frostbite Falls,MO,Disk,1997-11-20,05:29,Thursday,20,11
Chicago,IL,Other,1997-11-20,02:00,Thursday,20,11
Springfield (25 miles northeast of),MO,Oval,1997-11-20,01:00,Thursday,20,11
Malta (60 miles south of),MT,Rectangle,1997-11-18,19:30,Tuesday,18,11
Scott AFB (outside of),IL,Light,1997-11-18,02:00,Tuesday,18,11
Bracketville,TX,Cigar,1997-11-17,05:30,Monday,17,11
Clearwater Beach,FL,Oval,1997-11-17,03:00,Monday,17,11
Wasilla,AK,Triangle,1997-11-17,03:00,Monday,17,11
Pompano Beach,FL,Sphere,1997-11-15,23:30,Saturday,15,11
Chester,NJ,Circle,1997-11-15,23:00,Saturday,15,11
Chester,NJ,Circle,1997-11-15,23:00,Saturday,15,11
Eureka,CA,Triangle,1997-11-15,22:00,Saturday,15,11
Varysburg,NY,Triangle,1997-11-15,21:30,Saturday,15,11
Tamaqua,PA,Light,1997-11-15,21:00,Saturday,15,11
Tennessee (on highway),TN,Sphere,1997-11-15,21:00,Saturday,15,11
El Centro,CA,Oval,1997-11-15,20:00,Saturday,15,11
West Palm Beach,FL,Other,1997-11-15,18:45,Saturday,15,11
Hubbard,OH,Triangle,1997-11-15,18:30,Saturday,15,11
Lockport,NY,Sphere,1997-11-15,04:00,Saturday,15,11
Reno,NV,Triangle,1997-11-15,03:50,Saturday,15,11
Longview,WA,Other,1997-11-15,02:30,Saturday,15,11
Tucson,AZ,Other,1997-11-15,00:35,Saturday,15,11
Redondo Beach,CA,Fireball,1997-11-14,23:15,Friday,14,11
Bellingham,WA,Formation,1997-11-14,22:25,Friday,14,11
Stevens Pass,WA,Disk,1997-11-14,22:00,Friday,14,11
Olympia,WA,Fireball,1997-11-14,21:30,Friday,14,11
Corbett,OR,Formation,1997-11-14,21:30,Friday,14,11
Olympia (East of),WA,Formation,1997-11-14,21:30,Friday,14,11
Snoqualmie,WA,Formation,1997-11-14,21:15,Friday,14,11
McMinnville,OR,Formation,1997-11-14,21:15,Friday,14,11
Freeland (Whidbey Island),WA,Formation,1997-11-14,21:15,Friday,14,11
Renton,WA,Formation,1997-11-14,21:15,Friday,14,11
Centralia,WA,Sphere,1997-11-14,21:12,Friday,14,11
Burlington,WA,Formation,1997-11-14,21:11,Friday,14,11
Renton,WA,Formation,1997-11-14,21:11,Friday,14,11
Snohomish,WA,Formation,1997-11-14,21:10,Friday,14,11
Issaquah,WA,Other,1997-11-14,21:10,Friday,14,11
Winthrop,WA,Fireball,1997-11-14,21:10,Friday,14,11
Mukilteo,WA,Formation,1997-11-14,21:10,Friday,14,11
Tonasket (14 miles east of),WA,Formation,1997-11-14,21:09,Friday,14,11
Edmonds,WA,Formation,1997-11-14,21:05,Friday,14,11
Mt. Vernon,WA,Circle,1997-11-14,21:00,Friday,14,11
Noblesville,IN,Fireball,1997-11-14,21:00,Friday,14,11
North Camano Island - Buena Vista area- above Utsalady Bay,WA,Formation,1997-11-14,21:00,Friday,14,11
Poulsbo,WA,Formation,1997-11-14,21:00,Friday,14,11
Kenmore,WA,Rectangle,1997-11-14,21:00,Friday,14,11
West Seattle,WA,Formation,1997-11-14,21:00,Friday,14,11
Gig Harbor,WA,Formation,1997-11-14,21:00,Friday,14,11
Seattle,WA,Diamond,1997-11-14,21:00,Friday,14,11
Olympia,WA,Formation,1997-11-14,21:00,Friday,14,11
Seattle,WA,Formation,1997-11-14,21:00,Friday,14,11
Lynnwood,WA,Oval,1997-11-14,20:00,Friday,14,11
Oakland,CA,Disk,1997-11-14,19:55,Friday,14,11
Oroville,WA,Triangle,1997-11-14,19:30,Friday,14,11
Dallas/Ft. Worth (Approaching),TX,Formation,1997-11-14,18:35,Friday,14,11
Palo,MI,Triangle,1997-11-14,17:34,Friday,14,11
Portland,OR,Formation,1997-11-14,17:00,Friday,14,11
Birch Bay,WA,Other,1997-11-14,16:00,Friday,14,11
Trenton (just outside),NJ,Light,1997-11-13,21:15,Thursday,13,11
Corvallis,OR,Light,1997-11-13,01:45,Thursday,13,11
Seattle,WA,Light,1997-11-12,17:30,Wednesday,12,11
Divide,CO,Light,1997-11-12,16:30,Wednesday,12,11
Sodus,NY,Cigar,1997-11-12,00:03,Wednesday,12,11
Enumclaw (outside of),WA,Chevron,1997-11-11,21:00,Tuesday,11,11
Columbus,OH,Cylinder,1997-11-11,05:30,Tuesday,11,11
O'Fallon,MO,Triangle,1997-11-11,01:00,Tuesday,11,11
Santee,CA,Light,1997-11-10,23:00,Monday,10,11
Hurricane,WV,Circle,1997-11-10,21:45,Monday,10,11
Orem,UT,Triangle,1997-11-10,20:00,Monday,10,11
Perkinston,MS,Cigar,1997-11-09,21:00,Sunday,09,11
"Newport (coast range, east of)",OR,Formation,1997-11-09,06:15,Sunday,09,11
Louisville,KY,Changing,1997-11-08,19:30,Saturday,08,11
Austin,TX,Light,1997-11-07,18:30,Friday,07,11
Kentwood,MI,Other,1997-11-06,19:00,Thursday,06,11
Seattle,WA,Light,1997-11-04,20:45,Tuesday,04,11
Houston,TX,Light,1997-11-02,00:00,Sunday,02,11
New York City (Bronx),NY,Light,1997-11-01,22:00,Saturday,01,11
Los Angeles (just outside),CA,Light,1997-11-01,22:00,Saturday,01,11
Carson,CA,Formation,1997-11-01,21:35,Saturday,01,11
Doniphan,MO,Fireball,1997-11-01,18:50,Saturday,01,11
Sartoga,CA,Other,1997-11-01,18:30,Saturday,01,11
Newton,GA,Light,1997-11-01,06:00,Saturday,01,11
Bridgewater,MA,Triangle,1997-11-01,03:00,Saturday,01,11
Warren,OH,Other,1997-12-31,20:30,Wednesday,31,12
Manassas,VA,Formation,1997-12-31,20:30,Wednesday,31,12
Crystal Beach,TX,Circle,1997-12-31,19:30,Wednesday,31,12
Gulfport,MS,Triangle,1997-12-31,17:45,Wednesday,31,12
Gulfport,MS,Triangle,1997-12-31,17:45,Wednesday,31,12
Milton (north of),FL,Triangle,1997-12-30,19:30,Tuesday,30,12
Victorville (east of),CA,Circle,1997-12-30,17:40,Tuesday,30,12
Spokane,WA,Light,1997-12-27,20:00,Saturday,27,12
Dale City (Interstate 95),VA,Triangle,1997-12-26,22:30,Friday,26,12
Primrose,GA,Light,1997-12-26,20:00,Friday,26,12
Los Angeles (Eagle Rock),CA,Disk,1997-12-25,09:00,Thursday,25,12
Charlotte,NC,Light,1997-12-25,02:00,Thursday,25,12
East Woodstock,CT,Oval,1997-12-23,20:00,Tuesday,23,12
Harrisonburg,VA,Light,1997-12-21,05:25,Sunday,21,12
Las Vegas,NV,Disk,1997-12-20,23:00,Saturday,20,12
Prescott (North of),AZ,Sphere,1997-12-20,22:00,Saturday,20,12
San Jose,CA,Triangle,1997-12-20,02:24,Saturday,20,12
Oxnard,CA,Cigar,1997-12-18,22:50,Thursday,18,12
Burlington,VT,Diamond,1997-12-17,11:45,Wednesday,17,12
Colchester,VT,Light,1997-12-17,11:45,Wednesday,17,12
Ocala,FL,Fireball,1997-12-17,00:15,Wednesday,17,12
North San Diego,CA,Fireball,1997-12-16,23:23,Tuesday,16,12
Baltimore,MD,Triangle,1997-12-16,18:30,Tuesday,16,12
Tarzana (San Fernando Valley),CA,Triangle,1997-12-16,02:30,Tuesday,16,12
Marlette,MI,Circle,1997-12-15,23:35,Monday,15,12
Gardiner,ME,Disk,1997-12-15,22:30,Monday,15,12
Iola,IL,Fireball,1997-12-15,22:00,Monday,15,12
Scranton,PA,Circle,1997-12-15,22:00,Monday,15,12
Salida,CA,Light,1997-12-15,20:00,Monday,15,12
Naperville,IL,Disk,1997-12-15,03:30,Monday,15,12
Thief River Falls,MN,Disk,1997-12-15,01:00,Monday,15,12
Prescott Valley,AZ,Other,1997-12-14,23:30,Sunday,14,12
Auburn,IN,Sphere,1997-12-14,06:45,Sunday,14,12
Lubbock,TX,Other,1997-12-12,02:03,Friday,12,12
Kinaid,IL,Triangle,1997-12-11,21:27,Thursday,11,12
Seattle,WA,Light,1997-12-11,19:15,Thursday,11,12
Williamsburg,OH,Diamond,1997-12-10,21:30,Wednesday,10,12
Fort Ann,NY,Other,1997-12-10,20:00,Wednesday,10,12
Oakland,CA,Triangle,1997-12-10,01:30,Wednesday,10,12
Reno,NV,Circle,1997-12-09,18:00,Tuesday,09,12
Reno,NV,Light,1997-12-09,17:55,Tuesday,09,12
Reno,NV,Light,1997-12-09,17:30,Tuesday,09,12
Reno,NV,Light,1997-12-09,17:00,Tuesday,09,12
"Kent (Auburn, Over S. King Co. Valley)",WA,Circle,1997-12-09,08:30,Tuesday,09,12
East Wenatchee,WA,Light,1997-12-08,19:40,Monday,08,12
Wenatchee,WA,Light,1997-12-08,00:00,Monday,08,12
Ashland (right over Highway 63),MO,Triangle,1997-12-07,03:00,Sunday,07,12
Salton Sea (Over),CA,Disk,1997-12-05,18:00,Friday,05,12
Clearwater Beach,FL,Oval,1997-12-05,03:00,Friday,05,12
Birch Run,MI,Chevron,1997-12-02,20:30,Tuesday,02,12
Birch Run,MI,Disk,1997-12-02,20:00,Tuesday,02,12
Paramus (souh of),NJ,Fireball,1997-12-01,23:30,Monday,01,12
Greentown,IN,Cigar,1997-12-01,22:00,Monday,01,12
San Jose,CA,Triangle,1997-12-01,21:45,Monday,01,12
Santa Cruz,CA,Triangle,1997-12-01,21:15,Monday,01,12
San Francisco (Observed from),CA,Other,1997-12-01,12:00,Monday,01,12
Naperville,IL,Oval,1997-12-01,03:30,Monday,01,12
Warwick,RI,Circle,1997-12-01,00:00,Monday,01,12
Shirley,NY,Disk,1998-01-31,20:00,Saturday,31,01
Monroe City (3 miles East of),MO,Fireball,1998-01-30,21:05,Friday,30,01
Sedona (5 miles w. of),AZ,Light,1998-01-30,20:00,Friday,30,01
Dallas,TX,Light,1998-01-30,18:50,Friday,30,01
Scranton,KS,Fireball,1998-01-29,21:15,Thursday,29,01
Coventry,RI,Disk,1998-01-29,14:00,Thursday,29,01
Alberton,MT,Oval,1998-01-28,22:00,Wednesday,28,01
Anaheim Hills,CA,Light,1998-01-27,21:50,Tuesday,27,01
Miami,FL,Light,1998-01-27,21:23,Tuesday,27,01
Woodinville (North East),WA,Sphere,1998-01-27,20:20,Tuesday,27,01
Woodland (6 miles from town),WA,Triangle,1998-01-27,19:30,Tuesday,27,01
"Las Cruces (on Interstate 10,west of)",NM,Disk,1998-01-27,17:00,Tuesday,27,01
Las Vegas,NV,Sphere,1998-01-26,21:00,Monday,26,01
Bartelso (outside of),IL,Oval,1998-01-26,20:45,Monday,26,01
Coconut Creek,FL,Circle,1998-01-26,16:50,Monday,26,01
Ripley,MS,Light,1998-01-25,20:30,Sunday,25,01
Cape Coral,FL,Diamond,1998-01-24,21:28,Saturday,24,01
Tucson,AZ,Light,1998-01-24,15:30,Saturday,24,01
Leander,TX,Cylinder,1998-01-24,15:20,Saturday,24,01
San Bernardino,CA,Sphere,1998-01-24,09:30,Saturday,24,01
Kaneohe,HI,Triangle,1998-01-24,05:45,Saturday,24,01
Alberton,MT,Circle,1998-01-23,21:00,Friday,23,01
Holstein/Heartwell (In country between),NE,Triangle,1998-01-23,18:05,Friday,23,01
Goldsboro (north of),NC,Formation,1998-01-21,22:00,Wednesday,21,01
Tucson,AZ,Other,1998-01-19,06:50,Monday,19,01
La Grande,OR,Circle,1998-01-18,19:30,Sunday,18,01
Fargo,ND,Fireball,1998-01-15,20:30,Thursday,15,01
Grants Pass,OR,Triangle,1998-01-15,19:00,Thursday,15,01
Alaska (remote),AK,Disk,1998-01-15,13:00,Thursday,15,01
Daytona Beach,FL,Light,1998-01-15,05:30,Thursday,15,01
Lake City,CO,Light,1998-01-15,05:00,Thursday,15,01
Neshanic Station,NJ,Light,1998-01-15,01:00,Thursday,15,01
New York City (Manhattan),NY,Formation,1998-01-15,01:00,Thursday,15,01
Litchfield Park,AZ,Triangle,1998-01-14,21:00,Wednesday,14,01
Goodyear,AZ,Light,1998-01-13,20:40,Tuesday,13,01
Minot,ND,Fireball,1998-01-13,01:00,Tuesday,13,01
Rachel,NV,Disk,1998-01-11,20:10,Sunday,11,01
Cape May,NJ,Light,1998-01-11,06:55,Sunday,11,01
Middletown,NJ,Fireball,1998-01-11,06:55,Sunday,11,01
"Colorado Springs (north of, on I-25)",CO,Fireball,1998-01-11,00:10,Sunday,11,01
Saginaw,MI,Light,1998-01-10,22:10,Saturday,10,01
Bremerton (over),WA,Light,1998-01-10,17:00,Saturday,10,01
Beals,ME,Circle,1998-01-10,10:00,Saturday,10,01
Cape Coral,FL,Light,1998-01-09,20:00,Friday,09,01
Pottstown,PA,Triangle,1998-01-09,18:30,Friday,09,01
Fairbanks,AK,Oval,1998-01-08,22:38,Thursday,08,01
"Satellite Point (near, midway between Orlando & Boca)",FL,Changing,1998-01-08,20:00,Thursday,08,01
Chico,CA,Oval,1998-01-08,20:00,Thursday,08,01
Petoskey,MI,Light,1998-01-08,17:00,Thursday,08,01
New York City (Brooklyn),NY,Diamond,1998-01-07,23:30,Wednesday,07,01
Renton,WA,Sphere,1998-01-07,16:10,Wednesday,07,01
Camarillo,CA,Other,1998-01-06,18:00,Tuesday,06,01
Hudson,NY,Triangle,1998-01-05,20:00,Monday,05,01
Phelan,CA,Other,1998-01-05,16:15,Monday,05,01
Highland,CA,Other,1998-01-05,15:50,Monday,05,01
Nashville,TN,Circle,1998-01-04,23:45,Sunday,04,01
"I-90 (westbound, just before the mountains)",WA,Sphere,1998-01-03,02:30,Saturday,03,01
Milwaukee/West Allis/West Milwaukee,WI,Changing,1998-01-01,23:00,Thursday,01,01
Coxsacke,NY,Light,1998-01-01,20:30,Thursday,01,01
Graniteville,SC,Disk,1998-01-01,20:00,Thursday,01,01
Cannon AFB,NM,Diamond,1998-01-01,13:00,Thursday,01,01
Baton Rouge,LA,Circle,1998-01-01,13:00,Thursday,01,01
St. Louis,MO,Flash,1998-01-01,12:58,Thursday,01,01
Pittsburgh,PA,Formation,1998-01-01,07:30,Thursday,01,01
Hoboken,NJ,Disk,1998-01-01,06:00,Thursday,01,01
Huelo,HI,Light,1998-01-01,04:00,Thursday,01,01
Elizabethtown,IL,Triangle,1998-01-01,02:00,Thursday,01,01
Allentown,PA,Light,1998-01-01,01:42,Thursday,01,01
St. Louis,MO,Flash,1998-01-01,00:58,Thursday,01,01
North Highlands,CA,Light,1998-02-28,19:15,Saturday,28,02
Vancouver,WA,Circle,1998-02-27,22:30,Friday,27,02
Bangor,ME,Flash,1998-02-27,22:10,Friday,27,02
Bellville,OH,Circle,1998-02-27,22:00,Friday,27,02
Hesperia,CA,Fireball,1998-02-27,19:35,Friday,27,02
Tallahassee,FL,Triangle,1998-02-26,22:30,Thursday,26,02
Colorado Springs,CO,Fireball,1998-02-26,20:30,Thursday,26,02
Ontario,NY,Disk,1998-02-26,19:09,Thursday,26,02
Nashville,TN,Fireball,1998-02-25,20:00,Wednesday,25,02
Harrisburg,PA,Cigar,1998-02-25,11:25,Wednesday,25,02
"Stouthill (community, nearest city 30 miles, TN)",TN,Cylinder,1998-02-25,05:45,Wednesday,25,02
Phoenix,AZ,Light,1998-02-25,03:00,Wednesday,25,02
Licking,MO,Light,1998-02-24,23:00,Tuesday,24,02
Houston,TX,Cigar,1998-02-24,17:00,Tuesday,24,02
Wyoming,MI,Changing,1998-02-23,07:30,Monday,23,02
Ossipee,NH,Light,1998-02-23,05:30,Monday,23,02
Halifax,NC,Circle,1998-02-21,20:00,Saturday,21,02
Tappahannock,VA,Circle,1998-02-21,17:50,Saturday,21,02
Nokomis,FL,Sphere,1998-02-21,11:30,Saturday,21,02
Columbus,OH,Triangle,1998-02-20,22:57,Friday,20,02
Kalispell,MT,Light,1998-02-20,20:30,Friday,20,02
Kerrville,TX,Changing,1998-02-20,19:00,Friday,20,02
Fairfield,CA,Disk,1998-02-20,11:30,Friday,20,02
Fairfax,VA,Triangle,1998-02-19,19:05,Thursday,19,02
Amherst (near High Peak),VA,Triangle,1998-02-19,00:01,Thursday,19,02
Orlando,FL,Triangle,1998-02-18,23:00,Wednesday,18,02
Mobile,AL,Circle,1998-02-18,21:30,Wednesday,18,02
Moreno Valley,CA,Sphere,1998-02-17,16:00,Tuesday,17,02
Auburn,WA,Fireball,1998-02-16,18:52,Monday,16,02
Toledo/Maumee,OH,Other,1998-02-15,23:35,Sunday,15,02
Blackfoot,ID,Flash,1998-02-15,23:30,Sunday,15,02
Duluth,MN,Flash,1998-02-15,19:30,Sunday,15,02
Yakima,WA,Changing,1998-02-15,12:00,Sunday,15,02
San Jose,CA,Cigar,1998-02-15,08:00,Sunday,15,02
Glen Burnie,MD,Oval,1998-02-14,22:50,Saturday,14,02
Rocky Mount,NC,Disk,1998-02-14,10:45,Saturday,14,02
Oceanside,CA,Chevron,1998-02-14,05:00,Saturday,14,02
Crestone,CO,Light,1998-02-13,20:00,Friday,13,02
"Sharon (to Brookfield, OH)",PA,Changing,1998-02-12,22:15,Thursday,12,02
Snohomish,WA,Oval,1998-02-12,18:20,Thursday,12,02
Merritt Parkway (about Exit 38),CT,Light,1998-02-12,17:10,Thursday,12,02
Shelby County airport (@231 mile marker),AL,Cigar,1998-02-12,12:35,Thursday,12,02
Burdett,NY,Other,1998-02-11,22:15,Wednesday,11,02
Londonderry,NH,Light,1998-02-10,21:00,Tuesday,10,02
Callicoon,NY,Oval,1998-02-10,21:00,Tuesday,10,02
Laguna Niguel,CA,Sphere,1998-02-10,20:00,Tuesday,10,02
Danbury,CT,Cylinder,1998-02-10,20:00,Tuesday,10,02
Sunnyvale,CA,Other,1998-02-10,00:30,Tuesday,10,02
Crescent City,CA,Rectangle,1998-02-09,23:30,Monday,09,02
Austin,TX,Circle,1998-02-09,00:15,Monday,09,02
Moundsville,WV,Light,1998-02-08,19:20,Sunday,08,02
Twenty Nine Palms,CA,Other,1998-02-07,11:00,Saturday,07,02
Webster,TX,Light,1998-02-06,19:06,Friday,06,02
Emporia,KS,Light,1998-02-06,19:00,Friday,06,02
Graham,WA,Light,1998-02-06,02:45,Friday,06,02
Worcester,MA,Fireball,1998-02-06,00:00,Friday,06,02
Gratis,OH,Triangle,1998-02-05,20:30,Thursday,05,02
